DC_ID,Node1,Node2,EPANET,Diameter,Length,Roughness,Minorloss,Status,Material,Zone,DateMapped,Dia_Inch,Network,Inst_Date,ServiceSta,Remarks,Ext_Overha,Nodel1,Nodel2,Dia_DN,Dia Inch,FID,layer,path
40.5784623,,,Y,100,40.578,0,0.1,OPEN,PVC,MYT,2014,4.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
134.770014,,,Y,100,134.770,0,0.1,OPEN,PVC,MYT,2014,4.00,Distribution Main,N/A,In Service,new off take from 8 inch line,No,,,,,,,
103.493546,,,Y,100,103.494,0,0.1,OPEN,PVC,MYT,2014,4.00,Distribution Main,N/A,In Service,Off take from 8 inch line,No,,,,,,,
129.147630,,,Y,100,129.148,0,0.1,OPEN,PVC,MYT,2014,4.00,Distribution Main,N/A,In Service,Off take from 8 inch line,No,,,,,,,
364.612298,,,Y,100,364.612,0,0.1,OPEN,PVC,MYT,2014,4.00,Distribution Main,N/A,In Service,Off take from 8 inch line,No,,,,,,,
558.996931,,,Y,100,558.997,0,0.1,OPEN,PVC,MYT,2014,4.00,Distribution Main,N/A,In Service,Off take from 8 inch line,No,,,,,,,
396.115518,,,Y,100,396.116,0,0.1,OPEN,PVC,MYT,2014,4.00,Distribution Main,N/A,In Service,Off take to Catholic. Yet to be completed.,No,,,,,,,
89.0201977,,,Y,75,89.020,0,0.1,OPEN,PVC,MYT,2014,3.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
101.672598,,,Y,75,101.673,0,0.1,OPEN,HDPE,MYT,21.12.2020,3.00,Distribution Main,2019,In Service,N/A,No,,,,,,,
5.74818653,,,Y,100,5.748,0,0.1,OPEN,PVC,MYT,2014,4.00,Distribution Main,N/A,In Service,Off take from Corner Maji,No,,,,,,,
258.071207,,,Y,100,258.071,0,0.1,OPEN,PVC,MYT,2014,4.00,Distribution Main,N/A,In Service,Off take from Callbox to Meta Meta Kiosk.,No,,,,,,,
14.3109998,,,Y,50,14.311,0,0.1,OPEN,PVC,MYT,2014,2.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
96.3541951,,,Y,100,96.354,0,0.1,OPEN,PVC,MYT,2014,4.00,Service Line,N/A,In Service,N/A,No,,,,,,,
23.7878554,,,Y,50,23.788,0,0.1,OPEN,PVC,MYT,2014,2.00,Distribution Main,N/A,In Service,Off take from Callbox to Meta Meta Kiosk.,No,,,,,,,
432.209855,,,Y,75,432.210,0,0.1,OPEN,PVC,MYT,2014,3.00,Distribution Main,01.2012,In Service,Managed by DMM,No,,,,,,,
29.0070244,,,Y,50,29.007,0,0.1,OPEN,PVC,MYT,2014,2.00,Distribution Main,01.2012,In Service,Managed by DMM,No,,,,,,,
538.393728,,,Y,50,538.394,0,0.1,OPEN,PVC,MYT,2014,2.00,Distribution Main,01.2012,In Service,Managed by DMM,No,,,,,,,
407.388948,,,Y,40,407.389,0,0.1,OPEN,PVC,MYT,2014,1.50,Distribution Main,01.2012,In Service,Managed by DMM,No,,,,,,,
344.377248,,,Y,40,344.377,0,0.1,OPEN,GI,MYT,2014,1.50,Distribution Main,01.2012,In Service,Managed by DMM,No,,,,,,,
40.8923839,,,Y,40,40.892,0,0.1,OPEN,GI,MYT,2014,1.50,Distribution Main,01.2012,In Service,Managed by DMM,No,,,,,,,
2.38437316,,,Y,200,2.384,0,0.1,OPEN,PVC,MYT,2014,8.00,Distribution Main,N/A,In Service,Off take of 8 inch towards Kona Lejo. Dead end at,No,,,,,,,
85.6464118,,,Y,200,85.646,0,0.1,OPEN,PVC,MYT,2014,8.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
4.54494730,,,Y,200,4.545,0,0.1,OPEN,PVC,MYT,2014,8.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
392.220434,,,Y,200,392.220,0,0.1,OPEN,PVC,MYT,2014,8.00,Distribution Main,N/A,In Service,From Kibuye,No,,,,,,,
7.78909126,,,Y,50,7.789,0,0.1,OPEN,PVC,MYT,2014,2.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
99.2711362,,,Y,25,99.271,0,0.1,OPEN,PVC,MYT,2014,1.00,Service Line,N/A,In Service,N/A,No,,,,,,,
76.1486911,,,Y,50,76.149,0,0.1,OPEN,PVC,MYT,2014,2.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
87.9419237,,,Y,20,87.942,0,0.1,OPEN,PVC,MYT,2014,0.75,Service Line,N/A,In Service,N/A,No,,,,,,,
13.5056225,,,Y,25,13.506,0,0.1,OPEN,PVC,MYT,2014,1.00,Service Line,N/A,In Service,N/A,No,,,,,,,
84.6829489,,,Y,25,84.683,0,0.1,OPEN,PVC,MYT,2014,1.00,Service Line,N/A,In Service,N/A,No,,,,,,,
74.5757935,,,Y,25,74.576,0,0.1,OPEN,PVC,MYT,2014,1.00,Service Line,N/A,In Service,N/A,No,,,,,,,
74.8505512,,,Y,25,74.851,0,0.1,OPEN,PVC,MYT,2014,1.00,Service Line,N/A,In Service,N/A,No,,,,,,,
48.9139199,,,Y,25,48.914,0,0.1,OPEN,PVC,MYT,2014,1.00,Service Line,N/A,In Service,N/A,No,,,,,,,
50.9786336,,,Y,25,50.979,0,0.1,OPEN,PVC,MYT,2014,1.00,Service Line,N/A,In Service,N/A,No,,,,,,,
56.3347033,,,Y,25,56.335,0,0.1,OPEN,PVC,MYT,2014,1.00,Service Line,N/A,In Service,N/A,No,,,,,,,
12.9430924,,,Y,20,12.943,0,0.1,OPEN,PVC,MYT,2014,0.75,Service Line,N/A,In Service,N/A,No,,,,,,,
10.8492663,,,Y,40,10.849,0,0.1,OPEN,PVC,ME,2014,1.50,Distribution Main,N/A,In Service,N/A,No,,,,,,,
27.1983811,,,Y,25,27.198,0,0.1,OPEN,PVC,ME,2014,1.00,Service Line,N/A,In Service,N/A,No,,,,,,,
24.8103943,,,Y,25,24.810,0,0.1,OPEN,PVC,ME,2014,1.00,Service Line,N/A,In Service,N/A,No,,,,,,,
233.173429,,,Y,25,233.173,0,0.1,OPEN,PVC,ME,2014,1.00,Service Line,N/A,In Service,N/A,No,,,,,,,
76.9953246,,,Y,25,76.995,0,0.1,OPEN,PVC,ME,2014,1.00,Service Line,N/A,In Service,N/A,No,,,,,,,
56.2733394,,,Y,25,56.273,0,0.1,OPEN,PVC,ME,2014,1.00,Service Line,N/A,In Service,N/A,No,,,,,,,
81.5779047,,,Y,25,81.578,0,0.1,OPEN,PVC,ME,2014,1.00,Service Line,N/A,In Service,N/A,No,,,,,,,
52.7273491,,,Y,25,52.727,0,0.1,OPEN,PVC,ME,2014,1.00,Service Line,N/A,In Service,N/A,No,,,,,,,
26.7757790,,,Y,25,26.776,0,0.1,OPEN,PVC,ME,2014,1.00,Service Line,N/A,In Service,N/A,No,,,,,,,
156.726070,,,Y,25,156.726,0,0.1,OPEN,PVC,ME,2014,1.00,Service Line,N/A,In Service,N/A,No,,,,,,,
91.9871646,,,Y,25,91.987,0,0.1,OPEN,PVC,ME,2014,1.00,Service Line,N/A,In Service,N/A,No,,,,,,,
1.09891184,,,Y,50,1.099,0,0.1,OPEN,PVC,ME,2014,2.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
2.02704360,,,Y,50,2.027,0,0.1,OPEN,PVC,ME,2014,2.00,Distribution Main,03.2014,In Service,N/A,No,,,,,,,
232.553377,,,Y,75,232.553,0,0.1,OPEN,PVC,ME,2014,3.00,Distribution Main,04.2014,In Service,N/A,No,,,,,,,
111.875336,,,Y,40,111.875,0,0.1,OPEN,PVC,ME,2014,1.50,Distribution Main,N/A,In Service,N/A,No,,,,,,,
53.3299594,,,Y,20,53.330,0,0.1,OPEN,PVC,ME,2014,0.75,Service Line,N/A,In Service,N/A,No,,,,,,,
26.2308869,,,Y,20,26.231,0,0.1,OPEN,PVC,ME,2014,0.75,Service Line,N/A,In Service,N/A,No,,,,,,,
76.0948095,,,Y,20,76.095,0,0.1,OPEN,PVC,ME,2014,0.75,Service Line,N/A,In Service,N/A,No,,,,,,,
575.687149,,,Y,40,575.687,0,0.1,OPEN,PVC,KREKAJ,2014,1.50,Distribution Main,N/A,In Service,N/A,No,,,,,,,
210.808714,,,Y,25,210.809,0,0.1,OPEN,PVC,KREKAJ,2014,1.00,Service Line,N/A,In Service,N/A,No,,,,,,,
208.938899,,,Y,40,208.939,0,0.1,OPEN,PVC,KREKAJ,2014,1.50,Distribution Main,N/A,In Service,N/A,No,,,,,,,
390.001029,,,Y,25,390.001,0,0.1,OPEN,PVC,KREKAJ,2014,1.00,Service Line,N/A,In Service,N/A,No,,,,,,,
264.962609,,,Y,50,264.963,0,0.1,OPEN,PVC,KREKAJ,2014,2.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
196.390665,,,Y,50,196.391,0,0.1,OPEN,PVC,MYT,2014,2.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
181.475515,,,Y,50,181.476,0,0.1,OPEN,PVC,MYT,2014,2.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
534.407492,,,Y,50,534.407,0,0.1,OPEN,PVC,KREKAJ,2014,2.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
180.135978,,,Y,50,180.136,0,0.1,OPEN,PVC,MYT,2014,2.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
119.742139,,,Y,75,119.742,0,0.1,OPEN,PVC,KREKAJ,2014,3.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
