DC_ID,Node1,Node2,EPANET,Diameter,Length,Roughness,Minorloss,Status,Material,Zone,DateMapped,Dia_Inch,Network,Inst_Date,ServiceSta,Remarks,Ext_Overha,Category,Sength
51.9363005,,,Y,300,51.936,0.0,0.1,OPEN,GI,MIL,2014,12.00,Distribution Main,N/A,In Service,Supplies water for backwash.,No,Major,51.93
11.0704488,,,Y,400,11.070,0.0,0.1,OPEN,Steel,MIL,2014,16.00,Distribution Main,N/A,In Service,N/A,No,Major,11.07
10.5968711,,,Y,400,10.597,0.0,0.1,OPEN,Steel,MIL,2014,16.00,Distribution Main,N/A,In Service,N/A,No,Major,10.60
5.03964373,,,Y,400,5.040,0.0,0.1,OPEN,Steel,MIL,2014,16.00,Distribution Main,N/A,In Service,N/A,No,Major,5.04
6.22172342,,,Y,400,6.222,0.0,0.1,OPEN,Steel,MIL,2014,16.00,Distribution Main,N/A,In Service,N/A,No,Major,6.22
2137.03724,,,Y,600,2137.037,0.0,0.1,OPEN,Steel,MIL,2014,24.00,Transmission Main,N/A,In Service,Supplies water to Kibuye.,No,Major,2136.89
8.62378809,,,Y,300,8.624,0.0,0.1,OPEN,Steel,MIL,2014,12.00,Distribution Main,N/A,In Service,N/A,No,Major,8.62
11.0663519,,,Y,300,11.066,0.0,0.1,OPEN,Steel,MIL,2014,12.00,Distribution Main,N/A,In Service,N/A,No,Major,11.07
14.2936234,,,Y,250,14.294,0.0,0.1,OPEN,Steel,MIL,2014,10.00,Distribution Main,N/A,In Service,N/A,No,Major,14.29
9.06442204,,,Y,250,9.064,0.0,0.1,OPEN,Steel,MIL,2014,10.00,Distribution Main,N/A,In Service,N/A,No,Major,9.06
15.9445099,,,Y,225,15.945,0.0,0.1,OPEN,GI,MIL,2014,9.00,Transmission Main,N/A,In Service,Supplies water to Watson.,No,Major,15.94
70.8563769,,,Y,225,70.856,0.0,0.1,OPEN,GI,MIL,2014,9.00,Transmission Main,N/A,In Service,Supplies water to Watson.,No,Major,70.85
1.70855416,,,Y,300,1.709,0.0,0.1,CLOSED,Steel,MIL,2014,12.00,Distribution Main,N/A,In Service,N/A,No,Major,1.71
1.71645885,,,Y,300,1.716,0.0,0.1,CLOSED,Steel,MIL,2014,12.00,Distribution Main,N/A,In Service,N/A,No,Major,1.72
5.72097528,,,Y,300,5.721,0.0,0.1,OPEN,Steel,MIL,2014,12.00,Distribution Main,N/A,In Service,N/A,No,Major,5.72
5.63942671,,,Y,300,5.639,0.0,0.1,OPEN,Steel,MIL,2014,12.00,Distribution Main,N/A,In Service,N/A,No,Major,5.64
1597.32068,,,Y,300,1597.321,0.0,0.1,OPEN,Steel,CBD,2014,12.00,Transmission Main,2014,In Service,LTAP Lines,No,Major,1597.22
527.648182,,,Y,600,527.648,0.0,0.1,OPEN,Steel,KREKAJ,2014,24.00,Transmission Main,2014,In Service,LTAP Lines,No,Major,527.60
134.370169,,,Y,700,134.370,0.0,0.1,OPEN,Steel,KREKAJ,2014,28.00,Transmission Main,2014,In Service,LTAP Lines,No,Major,134.36
1484.26187,,,Y,700,1484.262,0.0,0.1,OPEN,Steel,KREKAJ,2014,28.00,Transmission Main,2014,In Service,LTAP Lines,No,Major,1484.14
96.8117789,,,Y,100,96.812,0.0,0.1,OPEN,Steel,KREKAJ,2014,4.00,Distribution Main,2014,In Service,LTAP Lines,No,Major,96.80
24.7764618,,,Y,250,24.776,0.0,0.1,OPEN,Steel,CBD,2014,10.00,Distribution Main,2014,In Service,LTAP Lines,No,Major,24.78
126.429723,,,Y,350,126.430,0.0,0.1,OPEN,Steel,CBD,2014,14.00,Distribution Main,2014,In Service,LTAP Lines,No,Major,126.42
116.291340,,,Y,100,116.291,0.0,0.1,OPEN,Steel,CBD,2014,4.00,Distribution Main,2014,In Service,LTAP Lines-sleeve,No,Major,116.28
99.9693886,,,Y,200,99.969,0.0,0.1,OPEN,Steel,CBD,2014,8.00,Distribution Main,2014,In Service,LTAP Lines,No,Major,99.96
15.5669174,,,Y,150,15.567,0.0,0.1,OPEN,PVC,KREKAJ,2014,6.00,Distribution Main,06.2014,In Service,LTAP Extension lines,No,Major,15.57
104.579301,,,Y,50,104.579,0.0,0.1,OPEN,PVC,KREKAJ,2014,2.00,Distribution Main,06.2014,In Service,LTAP Extension lines,No,Minor,104.57
230.282346,,,Y,50,230.282,0.0,0.1,OPEN,PVC,KREKAJ,2014,,Distribution Main,06.2014,In Service,LTAP Extension lines,No,Minor,230.26
231.296332,,,Y,50,231.296,0.0,0.1,OPEN,PVC,KREKAJ,2014,,Distribution Main,06.2014,In Service,LTAP Extension lines,No,Minor,231.28
1469.22218,,,Y,100,1469.222,0.0,0.1,OPEN,PVC,CBD,2014,4.00,Distribution Main,2014,In Service,LTAP Lines,No,Major,1469.11
410.738310,,,Y,150,410.738,0.0,0.1,OPEN,PVC,CBD,2014,6.00,Distribution Main,N/A,In Service,N/A,No,Major,410.71
137.839727,,,Y,100,137.840,0.0,0.1,OPEN,PVC,MYT,2014,4.00,Distribution Main,2014,In Service,LTAP Lines,No,Major,137.83
170.768107,,,Y,100,170.768,0.0,0.1,OPEN,GI,CBD,2014,4.00,Distribution Main,N/A,In Service,N/A,No,Major,170.76
262.914259,,,Y,150,262.914,0.0,0.1,OPEN,AC,CBD,2014,6.00,Distribution Main,N/A,In Service,N/A,No,Major,262.90
264.571473,,,Y,75,264.571,0.0,0.1,OPEN,GI,CBD,2014,3.00,Distribution Main,N/A,In Service,N/A,No,Major,264.55
478.753744,,,Y,100,478.754,0.0,0.1,OPEN,GI,CBD,2014,4.00,Distribution Main,N/A,In Service,N/A,No,Major,478.72
712.480569,,,Y,50,712.481,0.0,0.1,OPEN,GI,CBD,2014,2.00,Distribution Main,N/A,In Service,N/A,No,Minor,712.43
74.5479957,,,Y,50,74.548,0.0,0.1,OPEN,GI,CBD,2014,2.00,Distribution Main,N/A,In Service,N/A,No,Minor,74.54
307.768503,,,Y,75,307.769,0.0,0.1,OPEN,GI,CBD,2014,3.00,Distribution Main,N/A,In Service,N/A,No,Major,307.75
114.049496,,,Y,50,114.049,0.0,0.1,OPEN,PVC,CBD,2014,2.00,Distribution Main,N/A,In Service,N/A,No,Minor,114.04
326.527149,,,Y,50,326.527,0.0,0.1,OPEN,PVC,CBD,2014,2.00,Distribution Main,N/A,In Service,N/A,No,Minor,326.50
414.266128,,,Y,75,414.266,0.0,0.1,OPEN,GI,CBD,2014,3.00,Distribution Main,N/A,In Service,N/A,No,Major,414.23
320.031742,,,Y,75,320.032,0.0,0.1,OPEN,GI,CBD,2014,3.00,Distribution Main,N/A,In Service,N/A,No,Major,320.01
433.020698,,,Y,250,433.021,0.0,0.1,OPEN,PVC,CBD,2014,10.00,Distribution Main,N/A,In Service,N/A,No,Major,432.99
174.391674,,,Y,75,174.392,0.0,0.1,OPEN,AC,CBD,2014,3.00,Distribution Main,N/A,In Service,N/A,No,Major,174.38
182.181534,,,Y,75,182.182,0.0,0.1,OPEN,GI,CBD,2014,3.00,Distribution Main,N/A,In Service,N/A,No,Major,182.17
155.895564,,,Y,100,155.896,0.0,0.1,OPEN,PVC,CBD,2014,4.00,Distribution Main,N/A,In Service,N/A,No,Major,155.88
1068.69621,,,Y,50,1068.696,0.0,0.1,OPEN,GI,CBD,2014,2.00,Distribution Main,N/A,In Service,N/A,No,Minor,1068.61
75.5308828,,,Y,150,75.531,0.0,0.1,OPEN,GI,CBD,2014,6.00,Distribution Main,N/A,In Service,N/A,No,Major,75.52
443.508801,,,Y,50,443.509,0.0,0.1,OPEN,PVC,KREKAJ,2014,2.00,Distribution Main,N/A,In Service,N/A,No,Minor,443.46
585.599050,,,Y,40,585.599,0.0,0.1,OPEN,PVC,KREKAJ,2014,1.50,Distribution Main,N/A,In Service,N/A,No,Minor,585.54
221.158231,,,Y,50,221.158,0.0,0.1,OPEN,PVC,KREKAJ,2014,2.00,Distribution Main,N/A,In Service,N/A,No,Minor,221.14
36.4906083,,,Y,40,36.491,0.0,0.1,OPEN,PVC,KREKAJ,2014,1.50,Distribution Main,N/A,In Service,N/A,No,Minor,36.49
990.159762,,,Y,50,990.160,0.0,0.1,OPEN,PVC,KREKAJ,2014,2.00,Distribution Main,N/A,In Service,N/A,No,Minor,990.07
120.720130,,,Y,50,120.720,0.0,0.1,OPEN,PVC,KREKAJ,2014,2.00,Distribution Main,N/A,In Service,N/A,No,Minor,120.71
302.146443,,,Y,150,302.146,0.0,0.1,OPEN,AC,KREKAJ,2014,6.00,Distribution Main,N/A,In Service,N/A,No,Major,302.12
482.843009,,,Y,100,482.843,0.0,0.1,OPEN,PVC,KREKAJ,2014,4.00,Distribution Main,N/A,In Service,N/A,No,Major,482.80
309.732733,,,Y,75,309.733,0.0,0.1,OPEN,PVC,KREKAJ,2014,3.00,Distribution Main,N/A,In Service,N/A,No,Major,309.71
167.820746,,,Y,75,167.821,0.0,0.1,OPEN,PVC,KREKAJ,2014,3.00,Distribution Main,N/A,In Service,N/A,No,Major,167.81
121.798079,,,Y,100,121.798,0.0,0.1,OPEN,PVC,KREKAJ,2014,4.00,Distribution Main,N/A,In Service,N/A,No,Major,121.79
252.035930,,,Y,100,252.036,0.0,0.1,OPEN,PVC,KREKAJ,2014,4.00,Distribution Main,N/A,In Service,N/A,No,Major,252.01
287.012847,,,Y,100,287.013,0.0,0.1,OPEN,PVC,KREKAJ,2014,4.00,Distribution Main,N/A,In Service,N/A,No,Major,286.99
67.9793019,,,Y,100,67.979,0.0,0.1,OPEN,PVC,KREKAJ,2014,4.00,Distribution Main,N/A,In Service,N/A,No,Major,67.97
7.36577284,,,Y,150,7.366,0.0,0.1,OPEN,GI,KREKAJ,2014,6.00,Distribution Main,N/A,In Service,Off takes at MYT3. Not sure where pipe changes mat,No,Major,7.37
639.744853,,,Y,200,639.745,0.0,0.1,OPEN,PVC,KREKAJ,2014,8.00,Distribution Main,N/A,In Service,N/A,No,Major,639.69
155.484252,,,Y,50,155.484,0.0,0.1,OPEN,PVC,KREKAJ,2014,2.00,Distribution Main,N/A,In Service,N/A,No,Minor,155.47
61.2970273,,,Y,75,61.297,0.0,0.1,OPEN,GI,KREKAJ,2014,3.00,Distribution Main,N/A,In Service,N/A,No,Major,61.29
134.614996,,,Y,75,134.615,0.0,0.1,OPEN,GI,KREKAJ,2014,3.00,Distribution Main,N/A,In Service,N/A,No,Major,134.60
101.510658,,,Y,75,101.511,0.0,0.1,OPEN,GI,KREKAJ,2014,3.00,Distribution Main,N/A,In Service,N/A,No,Major,101.50
127.340735,,,Y,75,127.341,0.0,0.1,OPEN,GI,KREKAJ,2014,3.00,Distribution Main,N/A,In Service,N/A,No,Major,127.33
126.721812,,,Y,75,126.722,0.0,0.1,OPEN,GI,KREKAJ,2014,3.00,Distribution Main,N/A,In Service,N/A,No,Major,126.71
122.673668,,,Y,75,122.674,0.0,0.1,OPEN,GI,KREKAJ,2014,3.00,Distribution Main,N/A,In Service,N/A,No,Major,122.66
69.0596949,,,Y,75,69.060,0.0,0.1,OPEN,GI,KREKAJ,2014,3.00,Distribution Main,N/A,In Service,N/A,No,Major,69.05
97.4095040,,,Y,75,97.410,0.0,0.1,OPEN,GI,KREKAJ,2014,3.00,Distribution Main,N/A,In Service,N/A,No,Major,97.40
90.1363984,,,Y,75,90.136,0.0,0.1,OPEN,GI,KREKAJ,2014,3.00,Distribution Main,N/A,In Service,N/A,No,Major,90.13
82.6403083,,,Y,75,82.640,0.0,0.1,OPEN,GI,KREKAJ,2014,3.00,Distribution Main,N/A,In Service,N/A,No,Major,82.63
317.544531,,,Y,50,317.545,0.0,0.1,OPEN,PVC,KREKAJ,2014,2.00,Distribution Main,02.2014,In Service,Lolwe DMA,No,Minor,317.52
231.526381,,,Y,50,231.526,0.0,0.1,OPEN,PVC,KREKAJ,2014,2.00,Distribution Main,02.2014,In Service,Lolwe DMA,No,Minor,231.51
101.749647,,,Y,50,101.750,0.0,0.1,OPEN,PVC,KREKAJ,2014,2.00,Distribution Main,02.2014,In Service,Lolwe DMA,No,Minor,101.74
198.992403,,,Y,50,198.992,0.0,0.1,OPEN,PVC,KREKAJ,2014,2.00,Distribution Main,02.2014,In Service,Lolwe DMA,No,Minor,198.98
592.369802,,,Y,50,593.110,0.0,0.1,OPEN,PVC,KREKAJ,2014,,Distribution Main,02.2014,In Service,Lolwe DMA,No,Minor,593.06
70.6963544,,,Y,100,70.696,0.0,0.1,OPEN,PVC,KREKAJ,2014,4.00,Distribution Main,02.2014,In Service,Lolwe DMA,No,Major,70.69
126.620416,,,Y,75,126.620,0.0,0.1,OPEN,PVC,KREKAJ,2014,3.00,Distribution Main,N/A,In Service,N/A,No,Major,126.61
135.837732,,,Y,50,135.838,0.0,0.1,OPEN,PVC,KREKAJ,2014,2.00,Distribution Main,N/A,In Service,N/A,No,Minor,135.83
283.059173,,,Y,50,283.059,0.0,0.1,OPEN,PVC,KREKAJ,2014,2.00,Distribution Main,02.2014,In Service,N/A,No,Minor,283.03
395.442371,,,Y,40,395.442,0.0,0.1,OPEN,PVC,MIL,2014,1.50,Distribution Main,N/A,In Service,N/A,No,Minor,395.41
389.075459,,,Y,75,389.075,0.0,0.1,OPEN,GI,MIL,2014,3.00,Distribution Main,N/A,In Service,N/A,No,Major,389.05
156.754393,,,Y,75,156.754,0.0,0.1,OPEN,GI,MIL,2014,3.00,Distribution Main,N/A,In Service,N/A,No,Major,156.74
486.559563,,,Y,100,486.560,0.0,0.1,OPEN,GI,MIL,2014,4.00,Distribution Main,N/A,In Service,N/A,No,Major,486.52
304.690199,,,Y,100,304.690,0.0,0.1,OPEN,GI,MIL,2014,4.00,Distribution Main,N/A,In Service,N/A,No,Major,304.67
251.859631,,,Y,150,251.860,0.0,0.1,OPEN,AC,MIL,2014,6.00,Distribution Main,N/A,In Service,N/A,No,Major,251.84
149.530913,,,Y,50,149.531,0.0,0.1,OPEN,PVC,MIL,2014,2.00,Distribution Main,N/A,In Service,N/A,No,Minor,149.52
23.9850563,,,Y,225,23.985,0.0,0.1,OPEN,AC,MIL,2014,9.00,Distribution Main,N/A,In Service,N/A,No,Major,23.98
26.7966540,,,N,150,26.797,0.0,0.1,OPEN,GI,MIL,2014,6.00,Distribution Main,09.2013,In Service,Supplies water to elevated tank.,No,Major,26.79
6.49397256,,,Y,350,6.494,0.0,0.1,OPEN,GI,MIL,2014,14.00,Distribution Main,N/A,In Service,Supplies water to Kibuye.,No,Major,6.49
175.281371,,,N,225,175.281,0.0,0.1,OPEN,AC,MIL,2014,9.00,Transmission Main,N/A,In Service,N/A,No,Major,175.27
419.925097,,,N,300,419.925,0.0,0.1,OPEN,AC,MIL,2014,12.00,Transmission Main,N/A,In Service,N/A,No,Major,419.90
329.152588,,,N,225,329.153,0.0,0.1,OPEN,AC,MIL,2014,9.00,Transmission Main,N/A,In Service,N/A,No,Major,329.13
148.394846,,,N,500,148.395,0.0,0.1,OPEN,Steel,MIL,2014,20.00,Transmission Main,2013,In Service,OK,No,Major,148.39
89.7586364,,,N,500,89.759,0.0,0.1,OPEN,Steel,MIL,2014,20.00,Transmission Main,2013,In Service,OK,No,Major,89.75
174.102493,,,N,500,174.102,0.0,0.1,OPEN,Steel,MIL,2014,20.00,Transmission Main,2013,In Service,OK,No,Major,174.09
2.47199487,,,N,600,2.472,0.0,0.1,OPEN,GI,MIL,2014,24.00,Transmission Main,N/A,In Service,N/A,No,Major,2.47
11.6114689,,,N,225,11.611,0.0,0.1,OPEN,GI,MIL,2014,9.00,Transmission Main,N/A,In Service,N/A,No,Major,11.61
11.5681929,,,N,225,11.568,0.0,0.1,OPEN,GI,MIL,2014,9.00,Transmission Main,N/A,In Service,N/A,No,Major,11.57
11.4245599,,,N,225,11.425,0.0,0.1,OPEN,GI,MIL,2014,9.00,Transmission Main,N/A,In Service,N/A,No,Major,11.42
11.7199593,,,N,225,11.720,0.0,0.1,OPEN,GI,MIL,2014,9.00,Transmission Main,N/A,In Service,N/A,No,Major,11.72
4.25510055,,,N,150,4.255,0.0,0.1,OPEN,GI,MIL,2014,6.00,Transmission Main,N/A,In Service,N/A,No,Major,4.25
4.14140713,,,N,150,4.141,0.0,0.1,OPEN,GI,MIL,2014,6.00,Transmission Main,N/A,In Service,N/A,No,Major,4.14
16.5031065,,,N,400,16.503,0.0,0.1,OPEN,GI,MIL,2014,16.00,Transmission Main,N/A,In Service,N/A,No,Major,16.50
219.554770,,,N,300,219.555,0.0,0.1,OPEN,AC,MIL,2014,12.00,Transmission Main,N/A,In Service,N/A,No,Major,219.54
88.3911871,,,N,300,88.391,0.0,0.1,OPEN,AC,MIL,2014,12.00,Transmission Main,N/A,In Service,N/A,No,Major,88.39
175.336871,,,N,300,175.337,0.0,0.1,OPEN,AC,MIL,2014,12.00,Transmission Main,N/A,In Service,N/A,No,Major,175.33
420.998218,,,N,300,420.998,0.0,0.1,OPEN,AC,MIL,2014,12.00,Transmission Main,N/A,In Service,N/A,No,Major,420.97
4.16726804,,,N,150,4.167,0.0,0.1,OPEN,GI,MIL,2014,6.00,Transmission Main,N/A,In Service,N/A,No,Major,4.17
4.01399797,,,N,150,4.014,0.0,0.1,OPEN,GI,MIL,2014,6.00,Transmission Main,N/A,In Service,N/A,No,Major,4.01
27.8429695,,,N,150,27.843,0.0,0.1,OPEN,GI,MIL,2014,6.00,Transmission Main,N/A,In Service,N/A,No,Major,27.84
1.97797320,,,N,400,1.978,0.0,0.1,OPEN,GI,MIL,2014,16.00,Transmission Main,N/A,In Service,N/A,No,Major,1.98
14.9009305,,,N,400,14.901,0.0,0.1,OPEN,GI,MIL,2014,16.00,Transmission Main,N/A,Out of service,Intake,No,Major,14.90
14.8319644,,,N,400,14.832,0.0,0.1,OPEN,GI,MIL,2014,16.00,Transmission Main,N/A,In Service,Intake,No,Major,14.83
14.8045508,,,N,400,14.805,0.0,0.1,OPEN,GI,MIL,2014,16.00,Transmission Main,N/A,In Service,Intake,No,Major,14.80
14.5790510,,,N,400,14.579,0.0,0.1,OPEN,GI,MIL,2014,16.00,Transmission Main,N/A,In Service,Intake,No,Major,14.58
14.8728652,,,N,400,14.873,0.0,0.1,OPEN,GI,MIL,2014,16.00,Transmission Main,N/A,In Service,Intake,No,Major,14.87
15.0770055,,,N,400,15.077,0.0,0.1,OPEN,GI,MIL,2014,16.00,Transmission Main,N/A,In Service,N/A,No,Major,15.08
19.5295373,,,N,400,19.530,0.0,0.1,OPEN,GI,MIL,2014,16.00,Transmission Main,N/A,In Service,N/A,No,Major,19.53
10.4560381,,,N,400,10.456,0.0,0.1,OPEN,GI,MIL,2014,16.00,Transmission Main,N/A,In Service,N/A,No,Major,10.46
5.12045123,,,N,400,5.120,0.0,0.1,OPEN,GI,MIL,2014,16.00,Transmission Main,N/A,In Service,N/A,No,Major,5.12
1.34283806,,,Y,150,1.343,0.0,0.1,CLOSED,GI,MIL,2014,6.00,Distribution Main,N/A,In Service,N/A,No,Major,1.34
2.41297337,,,Y,225,2.413,0.0,0.1,OPEN,GI,MIL,2014,9.00,Distribution Main,N/A,In Service,N/A,No,Major,2.41
1.48502689,,,Y,150,1.485,0.0,0.1,OPEN,GI,MIL,2014,6.00,Distribution Main,N/A,In Service,N/A,No,Major,1.48
1.23354473,,,N,150,1.234,0.0,0.1,CLOSED,GI,MIL,2014,6.00,Distribution Main,N/A,In Service,N/A,No,Major,1.23
1.24133373,,,Y,225,1.241,0.0,0.1,OPEN,GI,MIL,2014,9.00,Distribution Main,N/A,In Service,Interconnection for water balancing in pipes.,No,Major,1.24
776.189902,,,Y,150,776.190,0.0,0.1,OPEN,PVC,MIL,2014,6.00,Distribution Main,N/A,In Service,N/A,No,Major,776.14
1.86707253,,,Y,150,1.867,0.0,0.1,OPEN,GI,MIL,2014,6.00,Distribution Main,N/A,In Service,Interconnection pipe at junction.,No,Major,1.87
2.04013536,,,Y,225,2.040,0.0,0.1,OPEN,AC,MIL,2014,9.00,Distribution Main,N/A,In Service,When bursts occurs PVC is used in repair.,No,Major,2.04
312.459158,,,Y,100,312.459,0.0,0.1,OPEN,PVC,MIL,2014,4.00,Distribution Main,N/A,In Service,N/A,No,Major,312.44
624.122255,,,Y,50,624.122,0.0,0.1,OPEN,PVC,MIL,2014,2.00,Distribution Main,N/A,In Service,N/A,No,Minor,624.08
399.165202,,,Y,50,399.165,0.0,0.1,OPEN,PVC,MIL,2014,2.00,Distribution Main,N/A,In Service,N/A,No,Minor,399.14
264.682808,,,Y,75,240.872,0.0,0.1,OPEN,GI,MIL,2014,3.00,Distribution Main,N/A,In Service,N/A,No,Major,240.85
186.980397,,,Y,75,186.980,0.0,0.1,OPEN,AC,MIL,2014,3.00,Distribution Main,N/A,In Service,N/A,No,Major,186.97
18.7375343,,,Y,200,18.738,0.0,0.1,OPEN,GI,MIL,2014,8.00,Distribution Main,N/A,In Service,N/A,No,Major,18.74
46.1842698,,,Y,225,46.184,0.0,0.1,OPEN,AC,MIL,2014,9.00,Distribution Main,N/A,In Service,N/A,No,Major,46.18
25.3397818,,,N,225,25.340,0.0,0.1,OPEN,Steel,MIL,2014,9.00,Distribution Main,N/A,In Service,N/A,No,Major,25.34
16.3055095,,,N,225,16.306,0.0,0.1,OPEN,Steel,MIL,2014,9.00,Distribution Main,N/A,In Service,N/A,No,Major,16.30
5.30035111,,,Y,150,5.300,0.0,0.1,OPEN,Steel,MIL,2014,6.00,Distribution Main,N/A,In Service,N/A,No,Major,5.30
4.87675643,,,Y,150,4.877,0.0,0.1,OPEN,Steel,MIL,2014,6.00,Distribution Main,N/A,In Service,N/A,No,Major,4.88
5.44465875,,,Y,150,5.445,0.0,0.1,OPEN,Steel,MIL,2014,6.00,Distribution Main,N/A,In Service,N/A,No,Major,5.44
6.79975733,,,N,150,6.800,0.0,0.1,OPEN,Steel,MIL,2014,6.00,Distribution Main,N/A,In Service,N/A,No,Major,6.80
213.191502,,,Y,75,213.192,0.0,0.1,OPEN,GI,ME,2014,3.00,Distribution Main,N/A,In Service,To verify the point of material change.,Yes,Major,213.17
170.440470,,,Y,100,170.440,0.0,0.1,OPEN,PVC,ME,2014,4.00,Distribution Main,N/A,In Service,N/A,No,Major,170.43
167.768122,,,Y,150,167.768,0.0,0.1,OPEN,PVC,ME,2014,6.00,Distribution Main,N/A,In Service,N/A,No,Major,167.76
1348.39446,,,Y,100,1348.394,0.0,0.1,OPEN,PVC,CBD,2014,4.00,Distribution Main,N/A,In Service,N/A,No,Major,1348.31
6.79909908,,,Y,100,6.799,0.0,0.1,OPEN,GI,CBD,2014,4.00,Distribution Main,N/A,In Service,N/A,No,Major,6.80
883.561494,,,Y,225,883.561,0.0,0.1,OPEN,PVC,CBD,2014,9.00,Distribution Main,N/A,In Service,N/A,No,Major,883.49
217.774703,,,Y,100,217.775,0.0,0.1,OPEN,GI,CBD,2014,4.00,Distribution Main,N/A,In Service,N/A,No,Major,217.76
154.410375,,,Y,100,154.410,0.0,0.1,OPEN,GI,CBD,2014,4.00,Distribution Main,N/A,In Service,N/A,No,Major,154.40
217.314938,,,Y,32,217.315,0.0,0.1,OPEN,GI,MYT,2014,1.25,Service line,N/A,In Service,N/A,No,Minor,217.30
72.1081212,,,Y,32,72.108,0.0,0.1,OPEN,GI,MYT,2014,1.25,Service line,N/A,In Service,N/A,No,Minor,72.10
73.3721394,,,Y,32,73.372,0.0,0.1,OPEN,GI,MYT,2014,1.25,Service line,N/A,In Service,N/A,No,Minor,73.37
10.9774244,,,Y,32,10.977,0.0,0.1,OPEN,GI,MYT,2014,1.25,Service line,N/A,In Service,N/A,No,Minor,10.98
44.4097975,,,Y,32,44.410,0.0,0.1,OPEN,GI,MYT,2014,1.25,Service line,N/A,In Service,N/A,No,Minor,44.41
51.2848154,,,Y,32,51.285,0.0,0.1,OPEN,GI,MYT,2014,1.25,Service line,N/A,In Service,N/A,No,Minor,51.28
49.0612606,,,Y,40,49.061,0.0,0.1,OPEN,GI,MYT,2014,1.50,Distribution Main,N/A,In Service,N/A,No,Minor,49.06
83.2191375,,,Y,32,83.219,0.0,0.1,OPEN,GI,MYT,2014,1.25,Service line,N/A,In Service,N/A,No,Minor,83.21
47.2757783,,,Y,32,47.276,0.0,0.1,OPEN,GI,MYT,2014,1.25,Service line,N/A,In Service,N/A,No,Minor,47.27
386.749196,,,Y,100,386.749,0.0,0.1,OPEN,PVC,MYT,2014,4.00,Distribution Main,N/A,In Service,Off take from 8 inch line,No,Major,386.72
255.269042,,,Y,40,255.269,0.0,0.1,OPEN,PVC,MYT,2014,1.50,Distribution Main,N/A,In Service,N/A,No,Minor,255.25
40.5784623,,,Y,100,40.578,0.0,0.1,OPEN,PVC,MYT,2014,4.00,Distribution Main,N/A,In Service,N/A,No,Major,40.58
